ZNF382	STAT3	-
MEF2A	NRF1	+
HDAC2	COL1A2	-
SMAD4	TNC	+
CDX2	IGFBP3	-
STAT2	NOS2	+
EGR1	SOD1	+
STAT1	IFNA1	-
ESR1	KDR	+
SP1	CCND1	+
IRF3	IFNA1	+
RELA	PPARD	-
SRF	SERPINE1	-
AR	JUN	+
VDR	IGFBP3	-
MYC	TP53	+
EP300	BRCA1	+
GATA4	IL5	+
SP1	KDR	-
EZH2	CCNE1	+
ESR1	AR	+
GATA3	MUC1	+
YBX1	EGFR	+
HES1	ASCL1	-
YY1	TP53	+
HIF1A	XPC	+
TP53	MMP2	+
USF1	APC	+
BRCA1	HSPA5	-
ETS2	MMP9	+
CEBPD	CYP19A1	-
VHL	AR	+
MEF2D	ATF3	+
ZBTB7A	CDKN2A	-
TP53	TNFRSF10B	+
DNMT1	CXCR4	-
RELA	ABCA1	-
TFAP2A	CD82	+
HDAC1	IL2	-
STAT5A	CCND2	-
ESRRA	CYP19A1	+
APEX1	CCL2	+
STAT3	LEP	+
STAT3	HSPA4	+
TFAP2A	PTEN	+
MYC	TERT	+
SP1	TNFSF10	-
STAT3	GAST	+
PAX5	LEF1	+
FOXO3	TNFSF10	+
RB1	DNMT3A	-
FOXO1	CDKN1B	+
ATF3	MMP2	-
ILF3	PLAU	+
GLI2	CDH1	-
EGR1	ATF3	+
SREBF2	HNF4A	-
SIRT1	MCL1	+
EP300	NR0B2	+
SATB1	CYBB	-
SP1	VIM	+
IRF1	CCNB1	-
SNAI1	CDH1	-
NFKB1	SOD2	+
E2F1	CDKN2A	+
TP53	PMAIP1	+
NFKB1	CFTR	+
SP1	MDM2	+
XBP1	HSPA5	+
MYCN	TP53	+
EGR1	MYB	-
JUND	CCND1	+
USF1	FOXA2	+
EGR1	FGF2	+
HNF4A	NR1I2	+
ING4	CDKN1A	+
KLF4	VDR	-
ING4	CDKN1B	+
RELA	COL1A2	-
TWIST1	TIMP1	-
HDAC9	TP53	-
GATA3	CDH1	+
EPAS1	MSC	+
HMGA2	CDH1	+
RARA	HSD17B2	+
GATA3	STAT4	-
YY1	PCNA	+
RELA	CDK4	+
RELA	CDK6	+
EPAS1	MMP14	+
ETV4	CCND2	+
WT1	MYB	-
EZH2	PCNA	+
PGR	CYP19A1	-
RELA	TIMP1	-
MYC	CXCR4	+
PPARG	RARB	+
ETV4	PTGS2	+
TP53	STAT3	-
NPM1	CDKN1A	+
TP63	BAX	+
TP53	CDKN1A	+
PBX1	NANOG	+
NR3C1	TP53	-
NR0B1	NR1H4	-
CEBPB	XBP1	+
ATF3	IFNG	+
NANOG	CDK6	-
NR1I2	IL10	+
RELA	CXCL10	+
CTNNB1	MMP14	+
NFKB1	SELE	+
SP1	CCL2	+
NFKB1	FASLG	+
APC	DNMT1	-
MSX1	HEY1	+
KLF2	CDKN1A	+
TWIST2	NF1	-
NR5A2	HSD3B2	+
FOSL2	MYB	+
AR	CDH1	-
UHRF1	PPARG	-
ESR1	BTG2	-
STAT1	IRF1	+
JUND	FOSL1	+
STAT1	IRF7	+
VDR	EGFR	-
STAT1	IRF8	+
BCL6	NFKB1	-
SP3	LPL	+
E2F1	HMGA1	+
ATM	MCL1	+
RELA	LPL	+
HIF1A	MMP2	-
PPARG	TP53	+
YBX1	FAS	-
EGR1	PLAU	+
SP1	CA9	+
GATA4	NPPA	+
FLI1	TERT	+
SP1	SOX9	+
MTA1	PTEN	-
SMAD7	CDKN1A	-
ETS2	MDM2	+
PPARA	CYP1A1	+
EAPP	CDKN2A	-
SREBF1	BCL2L1	-
RELA	CFLAR	+
GATA6	PLAU	-
ATF2	TNF	+
SP1	HSD17B2	+
SP3	HBEGF	+
YBX1	SKP2	-
SNAI2	CD44	+
MITF	BCL2A1	-
TCF4	MYC	+
HDAC9	NFKB1	-
FOSL2	BRCA1	+
KLF8	MMP9	+
PITX1	NKX3-1	-
ATF2	KAT5	-
ESR1	BCL2	+
JUNB	LOR	-
NR1I2	NFKB1	-
ESR1	JUN	+
EGR1	CXCL8	-
NFKB1	MMP14	+
JUN	ABCB1	+
FOS	MYC	-
RELA	FASLG	+
REL	SOD2	+
SIRT1	FOXO3	-
CIITA	COL1A2	-
USF1	HMOX1	+
SP1	TNC	+
SP1	TNF	+
CEBPB	SLC19A1	+
STAT1	MUC4	+
PML	NR4A1	-
CREM	DUSP1	-
PARP1	CDH1	+
SREBF1	NR0B2	+
SIRT1	TP53	-
JUN	ETS1	+
PAX5	BAX	+
ING4	PTGS2	-
KAT2B	IRF7	-
ATF4	DDIT3	+
TWIST2	FOS	+
MYC	IFNA1	-
ETS2	ICAM1	+
RUNX3	TCF4	+
PPARG	MMP9	-
HDAC9	HSPA5	-
SIRT1	TNFRSF10B	-
MYC	TNFRSF10B	+
EP300	IL12B	+
IRF3	CXCL10	+
SP1	KLK3	+
RELA	MMP14	+
CREB1	NR2F1	-
WT1	ETS1	+
E2F1	AR	+
SP1	ABCA1	+
IRF1	CYBB	+
JUN	BRCA1	+
RB1	PCNA	-
NR2F1	SERPINC1	-
ETS1	MMP13	+
TWIST1	FN1	+
RUNX3	CASP3	+
NR0B1	NR5A1	-
TCF4	PTEN	-
SP1	THBD	+
HIC1	MYC	-
ETS1	MUC4	+
RELA	CCND2	+
TWIST2	RUNX2	-
HDAC2	TWIST1	-
YY1	FCER1A	+
HNF4A	MYC	+
ETS2	IL5	+
MYC	FASLG	+
AR	HMOX1	+
SP3	TFF1	+
E2F1	FOXM1	+
NFKB1	CXCL10	+
ESR1	PGR	+
CEBPB	CYP19A1	-
JUN	IFNG	+
HDAC5	FGF2	-
SP3	NOS3	+
HDGF	VEGFA	+
RELA	BCL2	+
PITX1	JUN	-
DDIT3	IL6	+
FOXP3	IL2	-
CREM	FOS	-
TP73	TERT	-
CDX2	PTGS2	-
GATA3	ZEB1	+
ZNF300	CDKN1A	-
JUN	NOX5	+
PPARG	PTEN	+
NFKB1	NCAM1	+
NR1H4	NR1I2	+
ESR1	TERT	+
EGR1	TNFSF10	-
PGR	PTGS2	-
KLF8	FN1	-
CEBPE	GATA1	-
DDIT3	NOS3	-
PPARG	CSF1	-
SNAI2	CXCR4	+
TP53	BAX	+
STAT3	ETV6	+
USF1	CIITA	+
MYCN	BAX	+
ING4	TP53	+
TAL1	ERG	+
PROX1	CDKN1B	+
FOXA2	MMP7	+
ING4	CASP3	+
ETS1	TERT	-
IRF1	IFNB1	+
DNMT1	TNFRSF10B	-
IRF1	CD40	+
RUNX3	CFLAR	-
STAT3	ESR2	+
SIRT2	AFP	+
NFKB1	IL1B	+
SNAI1	THBS1	-
SP1	ALOX5	+
FOXO3	FOXM1	-
TP53	ATF3	+
CEBPB	CXCL8	+
GATA4	CCND2	+
KLF2	PPARG	-
NPM1	ATF5	-
EPAS1	SERPINE1	+
ESR1	CYP1A1	-
CEBPB	IL4	+
CEBPB	IL6	+
HDAC1	HSPA5	-
EZH2	MYC	-
RB1	TFDP1	-
ZFP36	CXCL8	-
TWIST1	MMP2	+
TWIST1	CD44	+
SRF	PLAU	+
SP3	ERBB2	+
NFKB2	HIF1A	-
E2F1	ATM	+
STAT1	MUC1	+
IRF9	PML	+
NFKBIA	NOS2	-
RELA	TNF	+
STAT3	FOS	+
ETS1	MMP9	+
TRERF1	CD80	-
ETS1	MMP1	+
ATF3	SELE	-
ZNF148	GAST	+
CREBBP	IL4	+
TWIST2	MYB	-
SRY	SOX9	+
AIP	TFF1	-
SOX6	TP53	+
PAX5	MYCN	+
TFAP2A	BCL2	-
IRF4	IRF3	-
ESR2	SERPINE1	-
RELA	BCL2A1	+
SPI1	CSF3R	+
PPARG	BCL2L1	-
SP3	SOX18	-
ABL1	TP53	+
CDX2	KLF4	+
MTA1	CDH1	-
RELA	BRCA2	+
RBL2	BRCA1	-
GATA2	CYBB	-
HDAC4	VEGFA	-
IRF9	NCAM1	+
STAT3	BCL6	+
ETV4	MMP7	+
EP300	CDKN1A	+
SIRT1	MYC	-
RUNX2	MMP13	+
BRCA1	EGFR	-
GATA2	SPI1	-
SATB1	SPI1	+
HDGF	FAS	+
KLF2	CXCR4	-
TNFAIP3	IRF7	-
TWIST1	NF1	-
RUNX3	ING1	+
TWIST2	ICAM1	+
STAT3	HIF1A	+
NFKBIA	FAS	-
STAT6	COL1A2	+
SP1	NOS3	+
TP53	MMP1	-
NR1H4	INS	+
ETV4	ERBB2	-
TSC22D3	CCND1	+
IRF1	CDKN1A	-
JUN	PLAUR	+
SPI1	BCL6	-
SREBF1	FAS	+
ZNF382	CDK6	-
TP53	THBS1	+
SP3	HDAC4	+
STAT3	PTEN	+
MYC	TP73	+
SIRT1	CDKN1A	-
SOX9	SOX10	-
SP1	CDKN1A	+
PPARD	PDK4	+
NKX2-5	GATA4	+
TWIST1	GDF15	+
STAT1	NOX5	+
GATA3	CDX2	+
STAT4	MYC	+
KLF6	PMAIP1	+
JUND	GADD45A	+
AR	NFKB1	-
MECP2	TFF1	-
STAT3	TGFB1	+
RELA	PTGS2	+
RUNX2	MMP2	+
TCF4	VEGFA	+
FOXA2	SERPINC1	-
KAT2B	CDKN1A	+
FOXD3	SPP1	+
RELA	JUNB	+
APC	MYC	-
JUN	AR	-
ETS1	TFAP2A	+
SP1	RARA	+
ESR1	CTNNB1	-
HDAC4	MEF2A	-
HDAC7	CDKN1A	+
RBL1	CCNA2	-
HDAC3	CDH1	-
SP3	YY1	+
NFKBIA	CD40	-
DDIT3	TNFRSF10B	+
TFAP2A	VEGFA	+
ZFHX3	MYB	-
NFKB1	HBEGF	+
YY1	NF1	+
NFATC1	SP1	-
JUN	IL2	-
JUN	IL6	+
HIF1A	CDH1	-
GATA2	NOS3	+
BRCA1	IGF1	-
ARNT	FOS	-
REST	OPRM1	-
CIITA	IL4	-
ATF4	HSPA5	-
KLF4	MMP2	+
CREBBP	CREB1	+
GATA2	EPO	-
CREB1	NR5A2	+
HIPK2	VEGFA	-
NFATC1	ICAM1	+
HDAC2	KLF4	-
JUN	VEGFA	-
RELA	PLAU	+
NR2F1	CYP17A1	-
YY1	IL4	+
YY1	IL5	+
HDAC1	RARB	-
EP300	IGFBP3	+
ETS1	TNC	+
RB1	MYC	-
NFYA	CCND2	+
REL	CDKN1A	+
RUNX2	SNAI2	+
TP73	PMAIP1	+
SMAD3	TNC	+
SP1	IL10	+
SP1	LDHA	+
AHR	UGT1A1	+
HDGF	CDH1	-
KLF4	SOD1	-
ETS2	CXCL8	+
HIF1A	E2F3	+
E2F1	BIRC5	+
NFKBIA	IL1B	-
PML	CCND1	-
IRF8	NF1	+
STAT3	IL2	+
TWIST1	MYB	-
SP1	TIMP1	+
DNMT1	TERT	+
ATM	PMAIP1	-
FOXA2	NR5A2	+
MYC	CEBPA	-
TP53	BIRC5	-
USF2	HMOX1	+
ERCC2	BCL2	-
MYC	FOXM1	+
NRF1	CXCR4	+
ETV4	VIM	+
KLF10	CDKN1A	+
STAT6	STAT1	-
CTCF	BCL6	-
PITX1	RUNX2	-
JUN	VCAM1	+
FOXL2	SIRT1	+
HIC1	STAT3	+
STAT3	BIRC5	+
FOXP2	MET	-
SP1	MET	+
TWIST2	NR2F1	+
NF1	FOS	+
RELA	EPAS1	+
JUN	PTGS2	+
CREB1	MUC5AC	+
ETS1	MDM2	-
STAT3	MMP9	-
RELA	ABCB1	+
NR0B1	CYP17A1	-
WWTR1	SMAD3	+
HDAC1	SPP1	-
RARA	RARB	+
EZH2	HDAC1	-
TNFAIP3	NFKB1	-
SP1	SREBF1	+
SMAD3	FOXP3	+
STAT3	OPRM1	+
TP73	CDKN1A	+
TWIST1	YBX1	+
TFAP4	CDKN1A	+
KLF2	THBD	+
BCL6	IRF4	-
ZNF382	MYC	-
RELA	CCL2	+
PARP1	VIM	+
MYB	CSF3R	-
RELA	FOXP3	+
HDAC9	RELA	-
SNAI1	VDR	-
TP53	GDF15	+
TWIST2	FN1	+
EZH2	SATB1	-
VDR	CXCL8	+
CTCF	TERT	-
CEBPA	HSPA4	+
NFKB1	CD80	+
PARP1	SNAI1	-
EZH2	CDH1	-
TBP	FOS	+
TFAP2A	ETS1	+
KLF8	MMP14	+
WT1	VEGFA	+
E2F4	PPARG	-
BRCA1	EP300	+
NFKB1	IFNG	+
SMARCA4	CD44	-
HDAC2	CCNE1	-
HMGA1	CDH1	-
USF2	SLC19A1	+
EGR1	RBL2	+
NFKB2	CDK6	+
EP300	CA9	+
ZEB2	VIM	+
PPARD	SOD1	+
FOS	SMAD7	+
SP1	CCNA2	-
RELA	VEGFA	+
ZNF300	IL6	+
ING4	SKP2	-
ESR1	CCNA2	+
KLF4	CDKN1B	+
NFKB1	MMP13	+
WT1	CCNE1	-
YBX1	ERBB2	+
NFKB1	NOX5	+
CREM	FASLG	-
NFKB1	PLAUR	+
TP53	GADD45A	-
PROX1	TWIST1	-
JUN	FOSL1	+
HIF1A	LDHA	+
PAX5	CCND1	-
YBX1	MYCN	+
PPARGC1A	CYP7A1	+
SP2	CEACAM1	-
FOXO1	EGR1	-
RUNX3	CCND1	-
CEBPB	CDKN1A	+
KLF4	CCNB1	-
FOXA1	BCL2	-
RELA	KLK3	-
LMO2	FGF2	+
SPI1	CCL2	+
SP3	LOR	-
SOX6	CCNA2	-
JUN	APOC3	+
NFKB1	CCND2	+
ELL	CDKN1A	-
PAX5	MET	+
NFKB1	ICAM1	+
STAT3	MUC1	+
TCF3	CDK6	-
HOXA10	TP53	+
EP300	VEGFA	+
HIC1	VEGFA	-
TBX21	IFNG	+
JUN	VDR	+
GATA2	WT1	+
TBX21	IL4	-
HDAC9	CDKN2A	+
HIF1A	BAX	+
NFKB1	TNFAIP3	+
NR3C1	BRCA1	+
ETS1	EGR1	+
KLF4	BIRC5	-
SPDEF	MUC2	+
SP1	CD14	+
FOS	PTGS2	+
ATF4	SIRT2	-
FOXA1	SERPINC1	-
TP53	CCND1	-
EP300	WT1	+
NFE2L2	SOD2	+
NFE2L2	SOD1	+
RELA	CCNB1	+
HDAC5	WT1	-
ETS1	NKX3-1	+
RELA	THBD	-
NR1I2	FOSL1	+
ARNT	JUN	-
BRCA1	CTSD	-
SP1	CDK4	+
NR3C1	STAT1	-
NFKB1	GSTP1	+
SP1	CDK6	-
FOXO4	BCL6	+
RXRA	ABCA1	+
PPARG	FASLG	+
TWIST1	ESR1	-
CEBPA	CCL2	+
IRF2	CXCR4	-
IRF1	TNFSF10	+
SIRT1	CTNNB1	-
RARA	CDKN1A	+
SIRT1	ABCB1	+
NCOR1	SNAI2	-
MYC	JUNB	-
RELA	SERPINE1	+
TP53	MUC2	+
SP1	FOXM1	+
HDAC1	MMP9	-
E2F1	VEGFA	-
PTTG1	MYC	+
JUND	NOS2	+
BRCA1	ATM	+
NFKB1	CXCL8	+
ESR2	TFF1	+
ILF3	IL2	+
SOX6	CTNNB1	-
NFKB1	CXCL1	+
YY1	MUC4	-
E2F1	PCNA	+
ATM	BCL2	-
WT1	DNMT3A	+
SPDEF	MMP9	-
USF2	THBS1	+
HDAC1	KLF4	-
GATA3	EPO	-
JUNB	IL4	+
EGR1	CCND1	+
SMAD7	MYC	+
ETV6	CDKN1A	+
HDAC7	ESR1	-
RUNX2	VEGFA	+
NR5A1	CYP17A1	+
HIF1A	NR4A1	+
KLF5	CCND1	+
NFE2L2	HMOX1	+
FOXO3	BCL6	+
JUN	IL12B	+
NFKBIA	NFKB1	-
BRCA1	SIRT1	+
RELA	TBP	+
E2F4	BRCA1	-
GATA2	FCER1A	+
STAT1	STAT2	+
SP1	AHR	-
CREB1	CYP19A1	+
HDAC1	BCL2A1	+
NFKB1	JUNB	+
FOS	SPI1	-
ATF1	IL10	+
SP1	SP3	+
CREB1	SNAI2	-
CREB1	SNAI1	-
RELA	TBX21	+
E2F1	MUC4	+
SP1	APEX1	-
RELA	CEACAM1	+
DDIT3	CEBPA	-
PPARG	CCNE1	-
FOS	NFKB1	-
SNAI2	CDH1	-
TP53	KLF2	-
NFKBIA	RELA	-
AR	PTGS2	-
MYC	CCND2	+
WT1	CYP19A1	-
FOXO1	TNFSF10	+
ELK1	EZH2	+
POU2F1	IL2	+
MYB	LMO2	+
IRF1	SOCS1	+
RELA	EGFR	+
MTA1	SMAD7	-
NR1H4	RELA	+
SP1	LOR	+
NFYB	FXR2	+
TWIST1	NR2F1	+
SREBF2	LDLR	+
SP1	SLC19A1	+
ZNF382	MITF	-
FOS	CREM	+
NCOR1	IGFBP3	-
VHL	IGF1R	-
HDAC9	PRL	-
NF1	AFP	-
AIP	NFKB2	-
ATF2	APOC3	+
STAT3	TERT	+
SP1	GAST	+
SP1	EAPP	+
BCL6	XBP1	-
PAX5	FHL2	+
APEX1	RELA	+
POU1F1	PRL	+
ESR1	CYP19A1	+
FOXA2	ABCA1	-
SIRT1	MMP9	-
AR	EP300	+
STAT3	BCL2L1	+
ING4	BAX	+
JUN	PGR	-
IRF1	IFNA1	+
PROX1	CYP7A1	-
DR1	NR1I2	+
RELA	BCL2L1	+
TBP	NF1	-
E2F1	MYCN	+
HNF1A	UGT1A1	+
STAT1	NR1H4	-
IRF7	CD80	+
STAT3	DNMT1	+
ZEB1	MUC1	-
EP300	PTGS2	+
CEBPD	SOD1	+
SIRT1	CFLAR	+
CREB5	STAT1	-
SMAD4	APOC3	+
HEY1	GATA6	-
HEY1	GATA4	-
FLI1	IL10	+
GATA3	CXCL1	-
SRF	MMP14	+
CEBPB	ABCB1	+
STAT6	HSD3B2	+
BRCA1	MDM2	+
PRDM1	CIITA	-
CTNNB1	JUN	+
JUN	RARB	+
EGR1	MMP14	+
STAT3	PTGS2	+
TP53	DNMT1	-
ING1	BAX	+
STAT3	MYC	+
SPI1	IL1B	+
REL	IL1B	+
E2F1	CDK1	+
SOX2	RHO	-
STAT3	MUC4	+
ATF3	DDIT3	+
PAX5	TERT	+
HIF1A	EPO	+
EPAS1	VEGFA	+
NR3C1	ELK1	-
SP1	TERT	+
MECP2	ESR1	-
FOXL2	CYP19A1	-
RELA	NOX5	+
STAT3	CDK4	+
STAT1	IFNB1	-
ETV4	ETS1	+
GATA4	NOS3	+
FOSL2	FOSL1	+
HIF1A	ABCB1	-
SP1	EGR1	+
IRF1	MYB	-
RELA	MAT2A	+
ETS1	WT1	+
ING4	CXCL8	-
EP300	DNMT1	+
WT1	IGF1R	-
NKX3-1	CCND1	-
HSF1	CDKN1A	-
JUN	SMAD7	+
STAT3	EGFR	+
MYCN	HDAC2	+
HES1	PTEN	-
NCOR1	PPARG	-
BRCA1	ESR1	+
ZNF148	VIM	-
FOXO3	AR	+
NFKB1	IFNA1	+
SOX9	NR5A1	+
SPDEF	PLAUR	-
GATA2	AR	+
SP4	YY1	+
MYC	ODC1	+
ETS1	PF4	+
GATA1	CYBB	+
NR4A1	E2F1	+
NANOG	CDX2	-
HDAC1	EGFR	-
ELL	MDM2	-
TP53	PTEN	-
SP1	FXR2	+
PPARG	CCND1	-
RELA	CXCL1	+
OTX2	PAX6	+
IRF1	IRF2	+
FOXA1	CFTR	-
SOX10	COL11A2	+
EGR1	FAS	-
PAX6	MET	+
E2F1	PDK4	-
VDR	CDKN1B	+
MYC	CCNE1	+
MTA1	CDKN2A	+
RELA	TNFRSF10B	+
RELA	SIRT1	+
KAT2B	CDK2	-
SMAD3	MMP9	-
STAT3	VEGFA	+
NR4A1	MMP2	+
PPARG	PTGS2	-
RELA	MMP9	+
RB1	E2F3	-
CTNNB1	CCND1	+
SP1	MMP14	+
JUN	CDKN1A	-
KLF4	IL1B	-
FOXM1	CCNB1	+
SMAD3	TERT	-
SP1	CCND2	+
NFYB	CDKN1B	+
PPARG	EGFR	-
RUNX2	TWIST1	+
PARP1	E2F1	+
E2F1	ABCB1	+
E2F1	ETV4	+
USF2	CEACAM1	+
WT1	TERT	-
SP1	HMGA1	+
SRF	FOS	+
NR3C1	CDK4	-
BRCA1	IRF7	+
NR3C1	CDK6	-
WT1	CDH1	-
ZNF300	MYC	+
HOXB7	MMP2	+
SP1	TNFRSF10B	+
SIRT1	PPARG	-
STAT3	DDIT3	-
JUNB	EGFR	+
HDAC1	TFF1	-
AR	MUC1	-
KLF6	PTTG1	-
KLF4	IL6	+
EGR1	EGFR	+
RELA	MMP2	+
NR5A1	SRY	+
HIPK2	VIM	-
AR	REST	-
NR3C2	CD40	+
UHRF1	RB1	+
MTA1	BCL2L1	+
ING4	CCND1	-
ETS2	CSF3R	+
E2F1	MYC	+
MYCN	CTSD	+
STAT3	FAS	-
DR1	TBP	-
RB1	FOS	-
NR3C1	BAX	+
ETS1	FLI1	+
USF2	TGFB1	+
RELA	PTEN	+
AR	PTEN	+
STAT1	MMP13	-
RELA	PTHLH	+
BRCA1	CYP19A1	+
UHRF1	ABCB1	-
NKX3-1	AR	-
ZBTB16	CCNA2	-
ATF2	CCND1	+
SP3	KLK3	+
TP53	MYC	-
NR1I2	THBS1	+
STAT3	TP63	+
ATF2	ATF3	+
E2F1	RB1	+
NFKB1	SNAI1	+
HNF4A	AFP	+
NFKB1	IL2	+
MYB	ICAM1	-
SIRT1	XPC	-
NR1H4	CYP7A1	-
STAT1	CDKN1A	+
VDR	IL2	-
NFKB1	IL6	+
JUN	EGFR	+
USF2	ABCA1	+
STAT1	IL6	-
PITX1	IRF7	-
CEBPA	BCL2	-
VDR	IL6	-
GATA4	HDAC9	-
HNF4A	SERPINC1	+
SP3	EAPP	-
TFAP2A	MUC4	-
NR5A1	CYP19A1	+
GATA3	ERG	+
STAT1	CXCL10	-
NFKB1	CD40	+
SMAD3	APOC3	+
SP3	COL11A2	+
TP63	VDR	+
PITX1	TERT	-
NFKB1	IL12B	+
FOS	FAS	+
NFIC	CCL2	+
RELA	TFF1	+
RARA	ICAM1	+
HDAC1	CDKN1A	-
DNMT1	VEGFA	+
SOX6	CDKN1A	+
STAT3	VDR	-
ETS1	ERG	+
SOX9	AR	+
CREM	CREB1	-
ERCC2	CDKN1A	+
RELA	TNFSF10	+
GATA1	WT1	+
TWIST2	RBL2	-
BRCA1	CXCL1	-
NFKB1	EGFR	+
EZH2	SNAI2	-
ZNF300	CDKN1B	-
SMAD3	VDR	+
RELA	GATA3	+
HNF4A	MMP7	+
SOX2	VIM	+
MSC	FOXP3	+
HIF1A	CXCR4	+
PGR	RELA	-
USF1	SERPINE1	+
PML	IFNB1	+
MYC	HDAC2	+
FOXO3	CCND2	-
RELA	TNFAIP3	+
TCF3	CDKN1A	+
NFKB1	SERPINE1	+
SMAD3	CCND2	+
HDAC1	PCNA	-
JUN	MAT2A	+
GATA1	SPI1	-
NFKB1	LPL	+
STAT3	SOCS1	+
RELA	CXCR4	+
ABL1	BCL2	-
ABL1	BCL6	-
NFKB1	MMP1	+
PML	TNFSF10	+
NFKB1	MMP9	+
WT1	SRY	+
JUN	LDHA	+
PARP1	FOXO1	-
JUN	CD82	+
HDAC1	BRCA2	-
RELA	VCAM1	+
E2F1	TP73	+
BRCA1	IFNA1	+
TFAP2A	SLC19A1	+
PARP1	BRCA2	-
MTA1	SNAI1	+
HMGA1	BRCA1	-
NFKB1	GATA3	+
NFKB1	CCL2	+
CTNNB1	RB1	-
TWIST1	FOS	+
RELA	ICAM1	+
NFKB1	TNFRSF10B	+
NFKB1	MUC2	+
STAT3	TIMP1	+
USF1	CXCR4	+
KLF5	CXCR4	+
EGR1	TNF	+
MYB	WT1	+
CEBPE	SPI1	-
HDAC4	MMP13	-
CEBPA	STAR	+
HOXA10	MYCN	-
HDAC2	SNAI2	-
SMARCA4	FOS	-
FOXP2	PLAUR	+
ATF2	RELA	+
E2F1	MCL1	-
FOXA2	CFTR	-
AR	KLK3	+
RB1	E2F1	-
SIRT1	CCND1	-
FOSL2	TIMP1	-
RB1	BRCA1	-
ATF5	CREB1	+
SP2	HSD17B2	-
VDR	CYP7A1	-
FOXD3	MITF	-
ABL1	FOXO3	+
BCL6	HDAC7	-
CLOCK	NR0B2	+
MEF2D	JUN	+
EZH2	MMP2	+
SMARCA4	CDKN1A	+
RELA	CD80	+
TBP	IL6	-
PPARG	CIITA	-
ATF2	NOS3	-
RARA	THBD	+
ATF5	BCL2	+
USF1	CYP1A1	-
NR4A1	CDKN1B	+
USF1	PF4	+
EP300	CYBB	-
TP53	EZH2	-
HDAC4	WT1	-
AR	BTG2	-
FLI1	MMP1	-
CREBBP	HOXA10	+
ETS1	PTHLH	+
ATF4	CEBPB	+
PROX1	CCNE1	+
SMAD3	CDKN1A	+
STAT3	IL10	+
DR1	PTGS2	+
NANOG	AFP	-
MTA1	EGFR	+
FOS	MMP1	+
NR0B1	CYP19A1	-
SNAI2	VDR	-
HDAC9	ESR1	-
SP1	PTHLH	+
FOS	CCND1	-
KLF4	CDKN1A	+
KAT2B	SMAD4	+
EZH2	RUNX3	-
MYC	GATA1	-
MYC	GATA4	+
SMARCA4	CCND1	-
HIF1A	LEP	+
FOXO3	TXNIP	+
SMAD3	CYP17A1	-
IRF1	CDK4	-
SP2	MMP9	-
POU2F1	VCAM1	-
